club,year,membership
Adelaide,2012,46005
Adelaide,2013,46405
Adelaide,2014,54249
Adelaide,2015,52920
Adelaide,2016,54307
Adelaide,2017,56865
Adelaide,2018,64379
Adelaide,2019,64437
Adelaide,2020,54891
Adelaide,2021,60232
Adelaide,2022,63009
Adelaide,2023,68536
Adelaide,2024,75477
Adelaide,2025,81067
Brisbane,2012,20762
Brisbane,2013,24130
Brisbane,2014,24012
Brisbane,2015,25408
Brisbane,2016,23286
Brisbane,2017,21362
Brisbane,2018,24867
Brisbane,2019,28023
Brisbane,2020,29277
Brisbane,2021,40289
Brisbane,2022,43139
Brisbane,2023,54676
Brisbane,2024,63268
Brisbane,2025,75138
Carlton,2012,45440
Carlton,2013,50564
Carlton,2014,47485
Carlton,2015,47305
Carlton,2016,50130
Carlton,2017,50326
Carlton,2018,56005
Carlton,2019,64269
Carlton,2020,67035
Carlton,2021,81302
Carlton,2022,88776
Carlton,2023,95277
Carlton,2024,106345
Carlton,2025,100743
Collingwood,2012,72688
Collingwood,2013,78427
Collingwood,2014,79347
Collingwood,2015,75037
Collingwood,2016,74643
Collingwood,2017,75879
Collingwood,2018,75507
Collingwood,2019,85226
Collingwood,2020,76862
Collingwood,2021,82527
Collingwood,2022,100384
Collingwood,2023,106470
Collingwood,2024,110628
Collingwood,2025,112491
Essendon,2012,47708
Essendon,2013,56173
Essendon,2014,60626
Essendon,2015,60818
Essendon,2016,57494
Essendon,2017,67768
Essendon,2018,79319
Essendon,2019,84237
Essendon,2020,66686
Essendon,2021,81662
Essendon,2022,86001
Essendon,2023,86274
Essendon,2024,83664
Essendon,2025,85568
Fremantle,2012,42918
Fremantle,2013,43880
Fremantle,2014,48777
Fremantle,2015,51433
Fremantle,2016,51889
Fremantle,2017,51254
Fremantle,2018,55639
Fremantle,2019,51431
Fremantle,2020,51577
Fremantle,2021,50342
Fremantle,2022,56105
Fremantle,2023,62064
Fremantle,2024,62237
Fremantle,2025,86179
G.Western Sydney,2012,10241
G.Western Sydney,2013,12681
G.Western Sydney,2014,13040
G.Western Sydney,2015,13480
G.Western Sydney,2016,15312
G.Western Sydney,2017,20944
G.Western Sydney,2018,25243
G.Western Sydney,2019,30109
G.Western Sydney,2020,30841
G.Western Sydney,2021,30185
G.Western Sydney,2022,32614
G.Western Sydney,2023,33036
G.Western Sydney,2024,36629
G.Western Sydney,2025,37754
Geelong,2012,40205
Geelong,2013,42884
Geelong,2014,43803
Geelong,2015,44312
Geelong,2016,50571
Geelong,2017,54854
Geelong,2018,63818
Geelong,2019,65063
Geelong,2020,60066
Geelong,2021,70293
Geelong,2022,71943
Geelong,2023,82155
Geelong,2024,90798
Geelong,2025,92379
Gold Coast,2012,11204
Gold Coast,2013,12502
Gold Coast,2014,13478
Gold Coast,2015,13643
Gold Coast,2016,12854
Gold Coast,2017,11665
Gold Coast,2018,12108
Gold Coast,2019,13649
Gold Coast,2020,16236
Gold Coast,2021,19460
Gold Coast,2022,21422
Gold Coast,2023,23359
Gold Coast,2024,26157
Gold Coast,2025,30107
Hawthorn,2012,60841
Hawthorn,2013,63353
Hawthorn,2014,68650
Hawthorn,2015,72924
Hawthorn,2016,75351
Hawthorn,2017,75663
Hawthorn,2018,80302
Hawthorn,2019,81211
Hawthorn,2020,76343
Hawthorn,2021,77079
Hawthorn,2022,81494
Hawthorn,2023,80698
Hawthorn,2024,83823
Hawthorn,2025,87204
Melbourne,2012,35459
Melbourne,2013,33177
Melbourne,2014,35911
Melbourne,2015,35953
Melbourne,2016,39146
Melbourne,2017,42233
Melbourne,2018,44275
Melbourne,2019,52421
Melbourne,2020,40571
Melbourne,2021,53188
Melbourne,2022,66484
Melbourne,2023,70785
Melbourne,2024,65479
Melbourne,2025,58563
North Melbourne,2012,33423
North Melbourne,2013,34607
North Melbourne,2014,39060
North Melbourne,2015,41012
North Melbourne,2016,45014
North Melbourne,2017,40343
North Melbourne,2018,40789
North Melbourne,2019,42419
North Melbourne,2020,38667
North Melbourne,2021,46357
North Melbourne,2022,49250
North Melbourne,2023,51084
North Melbourne,2024,50628
North Melbourne,2025,56731
Port Adelaide,2012,35543
Port Adelaide,2013,39838
Port Adelaide,2014,48968
Port Adelaide,2015,54057
Port Adelaide,2016,53743
Port Adelaide,2017,52129
Port Adelaide,2018,54386
Port Adelaide,2019,51951
Port Adelaide,2020,46820
Port Adelaide,2021,56532
Port Adelaide,2022,58643
Port Adelaide,2023,64041
Port Adelaide,2024,66015
Port Adelaide,2025,72656
Richmond,2012,53027
Richmond,2013,60321
Richmond,2014,66122
Richmond,2015,70809
Richmond,2016,72278
Richmond,2017,72669
Richmond,2018,100726
Richmond,2019,103358
Richmond,2020,100420
Richmond,2021,105084
Richmond,2022,100792
Richmond,2023,101349
Richmond,2024,98489
Richmond,2025,107331
St Kilda,2012,35440
St Kilda,2013,32707
St Kilda,2014,30739
St Kilda,2015,32746
St Kilda,2016,38009
St Kilda,2017,42052
St Kilda,2018,46301
St Kilda,2019,43038
St Kilda,2020,48588
St Kilda,2021,55802
St Kilda,2022,60172
St Kilda,2023,60239
St Kilda,2024,60467
St Kilda,2025,65509
Sydney,2012,29873
Sydney,2013,36358
Sydney,2014,40126
Sydney,2015,48836
Sydney,2016,56523
Sydney,2017,58838
Sydney,2018,60934
Sydney,2019,61912
Sydney,2020,48322
Sydney,2021,50144
Sydney,2022,55934
Sydney,2023,65332
Sydney,2024,73757
Sydney,2025,78671
West Coast,2012,57377
West Coast,2013,58501
West Coast,2014,58529
West Coast,2015,60221
West Coast,2016,65188
West Coast,2017,65064
West Coast,2018,80290
West Coast,2019,90445
West Coast,2020,100776
West Coast,2021,106422
West Coast,2022,102897
West Coast,2023,103275
West Coast,2024,103498
West Coast,2025,106422
Western Bulldogs,2012,30007
Western Bulldogs,2013,30209
Western Bulldogs,2014,31538
Western Bulldogs,2015,35222
Western Bulldogs,2016,39459
Western Bulldogs,2017,47653
Western Bulldogs,2018,43246
Western Bulldogs,2019,44373
Western Bulldogs,2020,38876
Western Bulldogs,2021,46541
Western Bulldogs,2022,50941
Western Bulldogs,2023,56302
Western Bulldogs,2024,62328
Western Bulldogs,2025,76584
