,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,Hawthorn,Hawthorn,Sydney,Fremantle,Sydney,Adelaide,Richmond,Geelong,Port Adelaide,Melbourne,Geelong,Collingwood,Sydney,Adelaide
2,Adelaide,Geelong,Hawthorn,West Coast ,Geelong,Geelong,West Coast ,Brisbane,Brisbane,Port Adelaide,Melbourne,Brisbane,Port Adelaide,Geelong
3,Sydney,Fremantle,Geelong,Hawthorn,Hawthorn,Richmond,Collingwood,Richmond,Richmond,Geelong,Sydney,Port Adelaide,Geelong,Brisbane
4,Collingwood,Sydney,Fremantle,Sydney,GWS,GWS,Hawthorn,Collingwood,Geelong,Brisbane,Collingwood,Melbourne,GWS,Collingwood
5,West Coast ,Richmond,Port Adelaide,Richmond,Adelaide,Port Adelaide,Melbourne,West Coast ,West Coast ,Western Bulldogs,Fremantle,Carlton,Brisbane,GWS
6,Geelong,Collingwood,North Melbounre,Western Bulldogs,West Coast ,Sydney,Sydney,GWS,St. Kilda,Sydney,Brisbane,St. Kilda,Western Bulldogs,Fremantle
7,Fremantle,Port Adelaide,Essendon,Adelaide,Western Bulldogs,Essendon,GWS,Western Bulldogs,Western Bulldogs,GWS,Richmond,GWS,Hawthorn,Gold Coast
8,North Melbounre,Carlton,Richmond,North Melbounre,North Melbounre,West Coast ,Geelong,Essendon,Collingwood,Essendon,Western Bulldogs,Sydney,Carlton,Hawthorn
9,St. Kilda,Essendon,West Coast ,Port Adelaide,St. Kilda,Melbourne,North Melbounre,Hawthorn,Melbourne,West Coast ,Carlton,Western Bulldogs,Collingwood,Western Bulldogs
10,Carlton,North Melbounre,Adelaide,Geelong,Port Adelaide,Western Bulldogs,Port Adelaide,Port Adelaide,GWS,St. Kilda,St. Kilda,Adelaide,Fremantle,Sydney
11,Essendon,Adelaide,Collingwood,GWS,Melbourne,St. Kilda,Essendon,Adelaide,Carlton,Fremantle,Port Adelaide,Essendon,Essendon,Carlton
12,Richmond,Brisbane,Gold Coast,Collingwood,Collingwood,Hawthorn,Adelaide,North Melbounre,Fremantle,Richmond,Gold Coast,Geelong,St. Kilda,St. Kilda
13,Brisbane,West Coast ,Carlton,Melbourne,Richmond,Collingwood,Western Bulldogs,Fremantle,Essendon,Carlton,Hawthorn,Richmond,Gold Coast,Port Adelaide
14,Port Adelaide,Gold Coast,Western Bulldogs,St. Kilda,Carlton,Fremantle,Fremantle,St. Kilda,Gold Coast,Hawthorn,Adelaide,Fremantle,Melbourne,Melbourne
15,Western Bulldogs,Western Bulldogs,Brisbane,Essendon,Gold Coast,North Melbounre,Brisbane,Sydney,Hawthorn,Adelaide,Essendon,Gold Coast,Adelaide,Essendon
16,Melbourne,St. Kilda,GWS,Gold Coast,Fremantle,Carlton,St. Kilda,Carlton,Sydney,Gold Coast,GWS,Hawthorn,West Coast ,North Melbounre
17,Gold Coast,Melbourne,Melbourne,Brisbane,Brisbane,Gold Coast,Gold Coast,Melbourne,North Melbounre,Collingwood,West Coast ,North Melbounre,North Melbounre,Richmond
18,GWS,GWS,St. Kilda,Carlton,Essendon,Brisbane,Carlton,Gold Coast,Adelaide,North Melbounre,North Melbounre,West Coast ,Richmond,West Coast 
