,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Adelaide,2,11,10,7,5,1,12,11,18,15,14,10,15,1
Brisbane,13,12,15,17,17,18,14,2,2,4,6,2,5,3
Carlton,10,8,13,18,14,16,18,16,11,13,9,5,8,11
Collingwood,4,6,11,12,12,13,3,4,8,17,4,1,9,4
Essendon,11,9,7,15,18,7,11,8,13,8,15,11,11,15
Fremantle,7,3,4,1,16,14,14,13,12,11,5,14,10,6
Geelong,6,2,3,10,2,2,8,1,4,3,1,12,3,2
Gold Coast,17,14,12,16,15,17,17,18,14,16,12,15,13,7
GWS,18,18,16,11,4,4,7,6,10,7,16,7,4,5
Hawthorn,1,1,2,3,3,12,4,9,15,14,13,16,7,8
Melbourne,16,17,17,13,11,9,5,17,9,1,2,4,14,14
North Melbounre,8,10,6,8,8,15,9,12,17,18,18,17,17,16
Port Adelaide,14,7,5,9,10,5,10,10,1,2,11,3,2,13
Richmond,12,5,8,5,13,3,1,3,3,12,7,13,18,17
St. Kilda,9,16,18,14,9,11,16,14,6,10,10,6,12,12
Sydney,3,4,1,4,1,6,6,15,16,6,3,8,1,10
West Coast ,5,13,9,2,6,8,2,5,5,9,17,18,16,18
Western Bulldogs,15,15,14,6,7,10,13,7,7,5,8,9,6,9
