,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Adelaide,"46,005","46,405","54,249","52,920","54,307","56,865","64,379","64,437","54,891","60,232","63,009","68,536","75,477","81,067"
Brisbane,"20,762","24,130","24,012","25,408","23,286","21,362","24,867","28,023","29,277","40,289","43,139","54,676","63,268","75,115"
Carlton,"45,440","50,564","47,485","47,305","50,130","50,326","56,005","64,269","67,035","81,302","88,776","95,277","106,345","100,743"
Collingwood,"72,688","78,427","79,347","75,037","74,643","75,879","75,507","85,226","76,862","82,527","100,384","106,470","110,628","112,491"
Essendon,"47,708","56,173","60,626","60,818","57,494","67,768","79,319","84,237","66,686","81,662","86,001","86,274","83,664","85,568"
Fremantle,"42,918","43,880","48,777","51,433","51,889","51,254","55,639","51,431","51,577","50,342","56,105","62,064","62,237","66,179"
Geelong,"40,205","42,884","43,803","44,312","50,571","54,854","63,818","65,063","60,066","70,293","71,943","82,155","90,798","92,379"
Gold Coast,"11,204","12,502","13,478","13,643","12,854","11,665","12,108","13,649","16,236","19,460","21,422","23,359","26,157","30,107"
GWS,"10,241","12,681","13,040","13,480","15,312","20,944","25,243","30,109","30,841","30,185","32,614","33,036","36,629","37,705"
Hawthorn,"60,841","63,353","68,650","72,924","75,351","75,663","80,302","81,211","76,343","77,079","81,494","80,698","83,823","87,204"
Melbounre,"35,459","33,177","35,911","35,953","39,146","42,233","44,275","52,421","40,571","53,188","66,484","70,785","65,479","58,563"
North Melbounre,"33,423","34,607","39,060","41,012","45,014","40,343","40,789","42,419","38,667","46,357","49,250","51,084","50,628","56,283"
Port Adelaide,"35,543","39,838","48,968","54,057","53,743","52,129","54,386","51,951","46,820","56,532","58,643","64,041","66,015","72,656"
Richmond,"53,027","60,321","66,122","70,809","72,278","72,669","100,726","103,358","100,420","105,084","100,792","101,349","98,489","92,531"
St. Kilda,"35,440","32,707","30,739","32,746","38,009","42,052","46,301","43,038","48,588","55,802","60,172","60,239","60,467","65,509"
Sydney,"29,873","36,358","40,126","48,836","56,523","58,838","60,934","61,912","48,322","50,144","55,934","65,332","73,757","76,674"
West Coast ,"57,377","58,501","58,529","60,221","65,188","65,064","80,290","90,445","100,776","106,422","102,897","103,275","103,498","107,079"
Western Bulldogs,"30,007","30,209","31,538","35,222","39,459","47,653","43,246","44,373","38,876","46,541","50,941","56,302","62,328","65,584"
,"708,161","756,717","804,460","836,136","875,197","907,561","1,008,134","1,057,572","992,854","1,113,441","1,190,000","1,264,952","1,319,687","1,363,437"
